sampleID	hyenaID	matriline	DOB	age_yrs	reproductive_state	social_rank	standardized_social_rank	sample_date	sample_year	prey_abundance	alpha-diversity?	beta-diversity?	metagenomes?
P208	M1	1	1-Jan-83	11	lactating	1	1.00	13-Jan-94	1994	67.75	Yes	Yes	No
P209	D2	2	28-Jun-03	3.92	lactating	10	-0.20	28-May-07	2007	266.50	Yes	Yes	No
P21	M2	2	23-Jul-94	8.17	lactating	8	0.06	13-Oct-02	2002	17.00	Yes	Yes	No
P210	D3	3	7-Nov-92	4.67	lactating	15	0.00	13-Jul-97	1997	193.25	No	Yes	No
P211	M1	1	1-Jan-83	11.67	lactating	1	1.00	3-Sep-94	1994	346.50	Yes	Yes	No
P212	G3	3	2-Mar-07	6.42	lactating	46	-0.91	13-Aug-13	2013	742.50	Yes	Yes	Yes
P213	D1	1	25-Jun-96	8.25	lactating	1	1.00	21-Oct-04	2004	27.50	Yes	Yes	No
P214	G1	1	20-Mar-01	3.5	lactating	2	0.87	5-Oct-04	2004	113.25	Yes	Yes	No
P215	D4	4	4-Jan-92	14.42	lactating	16	-0.88	13-Jun-06	2006	122.33	Yes	Yes	No
P216	G1	1	20-Mar-01	5	lactating	5	0.50	11-Apr-06	2006	210.67	Yes	Yes	No
P217	D2	2	28-Jun-03	8.67	lactating	36	-0.37	12-Mar-12	2012	108.83	Yes	Yes	No
P218	D3	3	7-Nov-92	5.67	lactating	16	-0.07	29-Jul-98	1998	184.25	Yes	Yes	No
P219	M2	2	23-Jul-94	6.25	lactating	6	0.33	1-Nov-00	2000	77.75	Yes	Yes	No
P22	D4	4	4-Jan-92	14	pregnant	16	-0.88	3-Feb-06	2006	47.67	Yes	Yes	No
P220	M3	3	1-Feb-85	9.92	pregnant	11	0.31	29-Jan-95	1995	494.00	Yes	Yes	No
P221	D3	3	7-Nov-92	7	lactating	17	-0.06	28-Nov-99	1999	39.50	Yes	Yes	No
P222	M1	1	1-Jan-83	11.92	other	1	1.00	16-Dec-94	1994	234.00	Yes	Yes	No
P223	G2	2	20-Jul-08	6.92	lactating	NA	NA	14-Jul-15	2015	247.33	Yes	Yes	No
P224	D4	4	4-Jan-92	10.25	lactating	16	-1.00	28-Apr-02	2002	164.25	Yes	Yes	No
P225	D1	1	25-Jun-96	5.42	lactating	1	1.00	26-Nov-01	2001	242.50	Yes	Yes	Yes
P226	M2	2	23-Jul-94	15.83	lactating	18	-0.21	20-Jun-10	2010	312.38	Yes	Yes	No
P227	D1	1	25-Jun-96	14.5	lactating	1	1.00	22-Jan-11	2011	115.83	Yes	Yes	No
P228	D2	2	28-Jun-03	6.83	lactating	21	-0.42	20-May-10	2010	465.00	Yes	Yes	No
P229	D4	4	4-Jan-92	4.92	lactating	21	-0.37	27-Dec-96	1996	226.75	Yes	Yes	No
P23	D1	1	25-Jun-96	8.33	lactating	1	1.00	13-Nov-04	2004	86.25	Yes	Yes	No
P230	G2	2	20-Jul-08	7.5	lactating	NA	NA	18-Feb-16	2016	221.83	Yes	Yes	No
P231	D3	3	7-Nov-92	19.17	other	43	-0.64	11-Jan-12	2012	200.50	Yes	Yes	No
P232	M2	2	23-Jul-94	10.58	lactating	11	-0.11	16-Mar-05	2005	23.00	Yes	Yes	No
P233	D1	1	25-Jun-96	3.08	lactating	2	0.93	15-Aug-99	1999	225.25	Yes	Yes	No
P234	D1	1	25-Jun-96	3.25	lactating	2	0.93	22-Oct-99	1999	17.00	Yes	Yes	No
P235	M2	2	23-Jul-94	13	other	9	-0.06	16-Aug-07	2007	204.00	Yes	Yes	No
