Genome	D1_P102_M Relative Abundance (%)	D1_P107_M Relative Abundance (%)	D1_P167_M Relative Abundance (%)	D1_P225_M Relative Abundance (%)	D1_P295_M Relative Abundance (%)	D1_P304_M Relative Abundance (%)	D1_P46_M Relative Abundance (%)	D1_P47_M Relative Abundance (%)	D3_P186_M Relative Abundance (%)	D3_P190_M Relative Abundance (%)	D3_P191_M Relative Abundance (%)	D3_P265_M Relative Abundance (%)	D3_P266_M Relative Abundance (%)	D3_P41_M Relative Abundance (%)	D3_P75_M Relative Abundance (%)	D3_P9_M Relative Abundance (%)	G1_P178_M Relative Abundance (%)	G1_P196_M Relative Abundance (%)	G1_P276_M Relative Abundance (%)	G1_P291_M Relative Abundance (%)	G1_P294_M Relative Abundance (%)	G1_P43_M Relative Abundance (%)	G1_P74_M Relative Abundance (%)	G1_P82_M Relative Abundance (%)	G3_P143_M Relative Abundance (%)	G3_P149_M Relative Abundance (%)	G3_P14_M Relative Abundance (%)	G3_P179_M Relative Abundance (%)	G3_P212_M Relative Abundance (%)	G3_P261_M Relative Abundance (%)	G3_P301_M Relative Abundance (%)	G3_P84_M Relative Abundance (%)
D3_bin.87	0.000013611451	0.00033895936	0.00061279524	0.00037803492	0.0000028675026	0.000006591815	0.000009798058	0.00016827819	0.0018479708	0.19683507	0.00066251215	0.00021135001	0	0.00035330708	0.00006414037	0.00264248	0.00038381823	0.000028716067	0.00018210916	0	0.000021550104	0.00033683894	0.00025727425	0.00001260335	0.00006915595	0.00039608162	0.0003090189	0.00022290846	0.000005548368	0.000005547029	0.00003225463	0.0006384697
D3_bin.89	0.0007995796	0.0025781642	0.004851292	0.000012971355	0.0000769873	0.0039797337	0.0005559594	0.05490457	0.24248654	0.00001334428	0	0.8711789	0.003173973	0.000048716305	0.0006587557	0.044623595	0.0000022838233	0.0012297587	0	0.0000024589676	0	0.00070638425	0.000030381725	0.0006516401	0.00000127091	0.0000013894678	0	0	0.000013702312	0.0004305773	0.000009456637	0.000006882769
D3_bin.8	0.0011987907	0.0021598237	0.01579817	0.00021923511	0.00010068885	0.000093024355	0.0006929431	0.0027247116	0.109708495	0.0020218117	0.0003969999	0.016254578	0.00037304507	0.00568588	0.008648896	0.2981015	0.000022088014	0.0010302382	0.005373665	0.000017780898	0.0010263653	0.00035812482	0.007586943	0.00028338478	0.003615831	0.00022341224	0.0031920392	0.000026607719	0.000050716128	0.0014895636	0.00024420078	0.0013470404
D3_bin.90	0.0016912807	0.0011884866	0.00064684864	0.00011486909	0.0012676006	0.00015373153	0.00019951082	0.0039783698	0.00046739515	0.015695037	0.04497717	0.00025267	0.00030001102	0.4946021	0.00015083591	0.005484594	0.0012898168	0.01274773	0.0030161305	0.0010437092	0.004643231	0.00013691206	0.010173842	0.0023701866	0.0001801703	0.00440713	0.000071549926	0.000582202	0.0027010683	0.0005076119	0.00007716802	0.0019974075
D3_bin.91	0.011567716	0.00066878245	0.0018917341	0.03286442	0.00024237414	0.004526012	0.012708929	0.0048572896	0.19105072	0.009675208	0.0268548	0.016315468	0.9505727	0.01116975	0.031670716	0.007965409	0.01435169	0.05131194	0.00423062	0.00031952566	0.0065993285	0.0019702006	0.06737341	0.0027555847	0.0011292392	0.00057041965	0.00090483675	0.00096719654	0.012985391	0.0008526991	0.0005821476	0.17953287
D3_bin.92	0.008965841	0.046758994	0.00020674696	0.011530788	0.0011936821	0.0051244586	0.0014788683	0.005624204	0.0029802287	0.0011498324	0.0045245215	0.0033058727	0.001615498	0.002887383	0.28790554	0.0041567483	0.0067912857	0.00022042166	0.0004164717	0.00025046663	0.0073885582	0.00049834134	0.0020805465	0.01001201	0.0006865788	0.0005029508	0.0001198575	0.0016480802	0.0019519117	0.0002532567	0.0005826077	0.00035507098
D3_bin.93	0.0010651316	0.002741829	0.0018209348	1.3735285	0.0016039052	0.29861754	0.16884229	0.00080640346	0.17987616	0.0039547672	0.0037200893	0.0023239832	0.6198041	0.11918669	0.098452285	0.3976868	0.040897466	0.024642784	0.0039184806	0.008838439	0.0015795702	0.06617448	1.1392977	0.0047964724	0.004169637	0.003495739	0.0016250348	0.24175115	0.0016959043	0.0018908932	0.0013082585	0.16614185
D3_bin.95	0.000010075092	0.000017498287	0.000015302627	0.000060278686	0.00009773909	0.00005051304	0.000045314882	0.00029830798	0.00065204524	0.009278631	0.00017834156	0.00011779186	0.00081781665	0.0014544732	0.28757024	0.023886051	0.000056754718	0.000049915976	0.000019986166	0.00016333758	0.00007679869	0.0004129888	0.00016001075	0.0006926289	0.0000769657	0.00012260658	0.000045809393	0.00009887539	0.00035226162	0.00013364016	0.00053011725	0.000026730844
D3_bin.96	0.0011210168	0.0019488146	0.0001276308	0.00007279719	0.0012982895	0.0000809897	0.000052323	0.007744083	0.00032221092	0.012575608	0.02057904	0.000086026615	0.000047438847	0.739136	0.00015207667	0.0055524195	0.001971479	0.0031707317	0.0028876006	0.0013175006	0.0038394544	0.0000115485	0.00708596	0.00038412324	0.00007958193	0.0012039916	0.000034084544	0.0021589652	0.0027575016	0.000796926	0.00002987128	0.0017785116
D3_bin.97	0.44097236	2.2462065	0.0015735967	0.015965	0.0115247825	0.0492256	0.07133434	0.105479114	0.06404629	0.01432379	0.00010723431	0.04547378	0.009394532	0.003934298	2.8825703	0.0002747532	0.0043858327	0.0014454895	0.00004250031	0.0031866452	0.000019396002	0.0028915731	0.000031183008	0.000112557755	0.00004967781	0.000028984405	0.000011158775	0.00001632792	0.00597803	0.00021442871	0.0056834514	0.000027447937
