key,value,acc
size_fraction_upper_threshold_sam,5,ERR4691763
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868456
size_fraction_upper_threshold_sam,20,ERR868456
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599071
size_fraction_upper_threshold_sam,3,ERR599071
size_fraction_lower_threshold_sam_s_dpl49,20,ERR599288
size_fraction_upper_threshold_sam,180,ERR599288
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1726968
size_fraction_upper_threshold_sam,20,ERR1726968
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599031
size_fraction_upper_threshold_sam,1.6,ERR599031
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1726835
size_fraction_upper_threshold_sam,>,ERR1726835
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691837
size_fraction_upper_threshold_sam,>,ERR4691837
size_fraction_lower_threshold_sam_s_dpl49,<,ERR594399
size_fraction_upper_threshold_sam,0.22,ERR594399
size_fraction_lower_threshold_sam_s_dpl49,<,ERR599382
size_fraction_upper_threshold_sam,0.22,ERR599382
size_fraction_lower_threshold_sam_s_dpl49,180,ERR599286
size_fraction_upper_threshold_sam,2000,ERR599286
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR599305
size_fraction_upper_threshold_sam,5,ERR599305
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691622
size_fraction_upper_threshold_sam,>,ERR4691622
sample_size_fraction_lower_threshold_sam,0.22,ERR4674111
sample_size_fraction_upper_threshold_sam,no size limit,ERR4674111
size_fraction_sam,0-0.22 micrometer,ERR3256930
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6090698
size_fraction_upper_threshold_sam,1.6,ERR6090698
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR562530
size_fraction_upper_threshold_sam,5,ERR562530
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4227157
size_fraction_upper_threshold_sam,>,ERR4227157
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879858
size_fraction_upper_threshold_sam,3,ERR1879858
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093635
size_fraction_upper_threshold_sam,3,ERR6093635
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4227198
size_fraction_upper_threshold_sam,>,ERR4227198
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093637
size_fraction_upper_threshold_sam,3,ERR6093637
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6090673
size_fraction_upper_threshold_sam,3,ERR6090673
size_fraction_lower_threshold_sam_s_dpl49,3,ERR1879847
size_fraction_upper_threshold_sam,>,ERR1879847
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756186
size_fraction_upper_threshold_sam,5,ERR1756186
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879704
size_fraction_upper_threshold_sam,>,ERR1879704
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756084
size_fraction_upper_threshold_sam,5,ERR1756084
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093618
size_fraction_upper_threshold_sam,3,ERR6093618
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1755909
size_fraction_upper_threshold_sam,2000,ERR1755909
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR562488
size_fraction_upper_threshold_sam,5,ERR562488
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879891
size_fraction_upper_threshold_sam,>,ERR1879891
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093645
size_fraction_upper_threshold_sam,3,ERR6093645
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093621
size_fraction_upper_threshold_sam,3,ERR6093621
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6093680
size_fraction_upper_threshold_sam,3,ERR6093680
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879727
size_fraction_upper_threshold_sam,3,ERR1879727
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1755931
size_fraction_upper_threshold_sam,20,ERR1755931
size_fraction_lower_threshold_sam_s_dpl49,180,ERR562383
size_fraction_upper_threshold_sam,2000,ERR562383
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1756165
size_fraction_upper_threshold_sam,5,ERR1756165
size_fraction_lower_threshold_sam_s_dpl49,3,ERR3518752
size_fraction_upper_threshold_sam,20,ERR3518752
filter_fraction_sam,3-20um,SRR13827115
size_fraction_lower_threshold_sam_s_dpl49,5,ERR599205
size_fraction_upper_threshold_sam,20,ERR599205
size_frac_sam,0-0.45 micrometer,SRR9161486
size_fraction_lower_threshold_sam_s_dpl49,0.025,ERR2002395
size_frac_sam,> 0.7 um,SRR12347133
size_frac_sam,0.22-5.0 micrometer,SRR17470363
size_fraction_sam,1.6-0.2um,SRR8075955
size_fraction_sam,1.6-0.2um,SRR8075983
size_fraction_lower_threshold_sam_s_dpl49,20,ERR4691844
size_fraction_upper_threshold_sam,180,ERR4691844
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1726722
size_fraction_upper_threshold_sam,20,ERR1726722
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR599238
size_fraction_upper_threshold_sam,>,ERR599238
size_fraction_lower_threshold_sam_s_dpl49,5,ERR4691852
size_fraction_upper_threshold_sam,20,ERR4691852
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR598943
size_fraction_upper_threshold_sam,3,ERR598943
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599141
