Genome	KRGM_100_5gb_M Relative Abundance (%)	KRGM_91_5gb_M Relative Abundance (%)	KRGM_92_5gb_M Relative Abundance (%)	KRGM_93_5gb_M Relative Abundance (%)	KRGM_94_5gb_M Relative Abundance (%)	KRGM_95_5gb_M Relative Abundance (%)	KRGM_96_5gb_M Relative Abundance (%)	KRGM_97_5gb_M Relative Abundance (%)	KRGM_98_5gb_M Relative Abundance (%)	KRGM_99_5gb_M Relative Abundance (%)
5_gb_bin.35	0.061923947	0.1883657	0.0035580453	0.013329914	0.25164223	0.0021382929	0.001441996	0.0371663	0.20267186	0.0113603715
5_gb_bin.36	0.00072387117	0.1021485	0.0005839158	0.034695752	0.071231484	0.0021205756	0.02321932	0.00076343364	0.012171335	0.014080219
5_gb_bin.37	0.0036671916	0.04552936	0.005741511	0.037095424	0.013999423	0.027979685	0.013756275	0.042547315	1.4926617	0.028208131
5_gb_bin.38	0.0039972886	0.08163993	0.000018980003	0.013149842	0.20504078	0.000006300037	0.005931339	0.0062446822	0.005912182	0.00027750028
5_gb_bin.39	0.5009718	0.09294573	0.19674364	0.054424576	0.1518044	0.009093962	0.18158443	0.669606	0.4446874	0.57350755
5_gb_bin.3	0.115510315	0.34355596	4.499123	2.6368606	1.2660104	0.0025528518	0.2765228	0.09942073	0.3648019	0.08542146
5_gb_bin.40	0.00013334505	0.017699784	0.00039312677	0.000252044	0.0125091905	0.00028683234	0.000099395336	0.3347905	0.77002853	0.3577924
5_gb_bin.41	0.0015648493	0.00951004	0.0008240379	0.019904526	0.0014519801	1.0733141	0.010591376	0.0055138464	0.73060256	0.012776742
5_gb_bin.42	0.00561138	0.021447564	0.001614306	0.016603451	0.23220585	0.00087156385	0.0013935532	0.0059438064	0.031001335	0.0030700353
5_gb_bin.43	0.22475004	0.71816945	0.0027039761	0.019043949	0.24192388	1.0463144	0.3566985	0.0028083746	0.28547114	0.0035268203
5_gb_bin.44	0.0081498725	0.0008849216	0.1434219	0.65504694	0.0003389901	0.0011135252	0.0010614458	0.0012309854	1.9470828	0.0014629029
5_gb_bin.45	0.03579114	0.058197718	0.29883203	0.2652816	0.1627023	0.72696245	0.21025576	0.020941379	0.22577716	0.09327513
5_gb_bin.46	0.0025047555	0.39282492	0.0012247178	0.0010494908	10.801879	0.0010586978	0.00025362172	2.3504202	0.005857399	1.5959054
5_gb_bin.47	0.1900154	0.10531512	0.00221803	0.019157067	0.015516803	0.099616155	0.0010216101	0.027977033	0.034797046	0.022365104
5_gb_bin.48	0.016632145	0.008066636	0.26828206	0.037802365	0.027840327	0.0015002552	0.0013552426	0.02899885	0.009903069	0.010092899
5_gb_bin.49	0.39440823	0.00019662589	0.029733118	0.0025905618	0.008135572	0.011063843	0.000017171611	0.01652556	0.017339969	0.019136762
5_gb_bin.4	0.28477523	0.35615453	0.0011932006	0.1306897	0.080830656	0.0010442326	0.21059331	0.0021600302	0.005197029	0.07808726
5_gb_bin.50	0.09142477	0.44920346	0.04816696	0.078959934	0.02512855	0.0010525269	0.022453394	0.009722579	0.086860485	0.005988208
5_gb_bin.51	0.0335685	0.09851571	0.09314133	0.006471337	0.03243005	0.029482186	0.21442527	0.19256324	0.03690961	0.05798831
5_gb_bin.52	0.002334198	0.043900993	0.024159335	0.25756004	0.024741346	0.03135217	0.017861785	0.0057205465	0.00610714	0.0032434638
5_gb_bin.53	0.01797802	0.06619549	0.0020557567	0.003146193	0.13393876	0.0003248901	0.029303936	0.0027402467	0.039654013	0.0641815
5_gb_bin.54	0.116031066	0.39310268	3.2853768	1.1434398	0.4255991	0.0029220418	0.78928864	0.058094516	0.6682926	0.045894474
5_gb_bin.55	0.061574843	0.89267045	0.003246925	0.026113741	0.04468511	0.0010218517	0.07912266	0.24441977	0.47685915	0.03915671
5_gb_bin.56	0.03201636	0.054642703	0.0029815596	0.004683243	0.0063841953	0.027195254	0.010659549	0.02401821	0.02083536	0.09038647
5_gb_bin.57	0.01990516	0.09663347	0.09800716	0.00092873315	0.0392341	0.047135096	0.00060481747	0.018306812	0.10768672	0.062401492
5_gb_bin.58	0.74751735	1.2852519	2.4994576	1.4851713	0.4430521	4.2215734	1.7815007	1.5445912	1.8586683	0.38554144
5_gb_bin.59	0.0010797101	0.17985676	0.0016553617	0.012797994	0.0005124029	0.0010669669	0.0011564029	0.0017581409	0.071396574	0.015666237
5_gb_bin.5	0.015365218	0.008181336	2.1123185	0.006382488	0.012782562	0.0064907004	0.0087781325	0.00937736	0.013743282	0.009539481
5_gb_bin.60	0.000009172079	0.09469054	0.7071361	0.08719291	0.00006650765	0.00008644273	0.00024342569	0.012075016	0.00047034628	0.009746437
5_gb_bin.61	0.24289677	0.03365091	0.0050158	1.9465634	1.89216	0.0004690134	0.1895762	0.28037813	2.0013535	0.00018930092
5_gb_bin.62	0.35623714	0.4585283	0.30473933	0.010443217	0.08958945	0.0026347202	0.012114688	0.041808262	0.0634675	0.42134926
5_gb_bin.63	0.008572755	0.12372443	0.20416759	0.027406955	0.13783242	0.010853402	0.042066105	0.055681277	0.02884431	0.029664367
5_gb_bin.64	0.009206673	0.009538966	0.009293174	0.011560013	6.9666686	0.010787353	0.008684107	0.016408468	0.018104274	0.010896352
5_gb_bin.65	0.67669207	0.0011914617	0.005083948	0.000037009442	0.0023720574	0.003982863	0.0018970919	0.062245477	0.0018285814	0.000012706051
