run,Latitude,Longitude,ABS_latit,log2sum_RPKM,SMN30cm_1,haiba,totP,cec_0.30_mean,nitrogen_0.30_mean,phh2o_0.30_mean,annual_solar_radiation,annual_average_temp,geo_continent,geo_loc_me5,geo_loc_me,RPKM_16S,log2_RPKM_16S,sum-RPKM,CN30cm_1,SMC30cm_1,annual_average_prec,labP,orgP,soc_0.30_mean
SRR10159356,28.21,116.93,28.21,12.08694892,15.27229977,40,604.5,97.23069255,78.40230815,4.953807195,176039,18.54233376,Asia,Asia,Chi: Jiangxi,668.441,9.384656416,4350.45,6.671097755,101.8830032,1766,41.7600174,158.496109,86.3221283
SRR10260005,30.07556,114.86278,30.07556,11.01039523,12.12240028,32,,181.4824778,168.0972824,6.189295705,164273,17.17866651,Asia,Asia,Chi:Hubei,1458.39,10.51016086,2062.81,3.891671419,47.17639923,1375,,,152.3057556
SRR10260006,30.97917,113.86417,30.97917,11.51102124,12.68789959,27,321.8891602,188.9893799,298.4747111,7.180936941,159765,16.51066651,Asia,Asia,Chi:Hubei,1724.52,10.75197915,2918.52,3.431773663,43.54199982,1138,39.77147675,130.8690491,166.9668248
SRR10260007,45.36444,132.31889,45.36444,12.00268846,18.53919983,70,,271.0222371,355.349706,6.266079585,162265,4.022000194,Asia,Asia,Chi:Heilongjiang,1872.52,10.87076541,4103.64,5.138522625,95.26409912,579,,,700.3922221
SRR10260008,48.3,134.7,48.3,11.26857709,18.37269974,36,321.8891602,272.2021383,512.8621318,6.460267893,157361,1.761666576,Asia,Asia,Chi:Heilongjiang,967.519,9.918146183,2467.06,4.786716461,87.94490051,691,34.7212944,49.01543808,626.8959757
SRR10260009,23.94389,101.5,23.94389,11.77633021,12.3586998,2374,206.9999847,212.2190043,391.0693868,5.637210464,181558,13.44800007,Asia,Asia,Chi:Yunn,971.225,9.923661748,3507.75,4.910864353,60.69189835,1104,14.29995537,54.27410507,462.7834676
SRR10260010,22.99361,102.46361,22.99361,12.04723641,13.53040028,1809,206.9999847,182.9362691,318.4278819,5.67135582,181484,15.91299995,Asia,Asia,Chi:Yunn,1412.89,10.46443343,4232.33,5.977665424,80.88020325,1287,14.29995537,54.27410507,380.80837
SRR10260011,31.72722,121.23333,31.72722,10.82137539,10.63519955,4,321.8891602,178.0930379,280.8702901,7.11717453,179886,15.28888879,Asia,Asia,Chi:Shanghai,1298.9,10.34307465,1809.5,6.867431164,73.03649902,1027,39.77147675,130.8690491,219.4760997
SRR10260012,30.89667,120.74278,30.89667,10.56413996,18.3946991,5,321.8891602,155.6305033,245.2974345,6.767490641,176808,16.07266661,Asia,Asia,Chi:Zhejiang,1700.28,10.73155663,1513.99,5.687073231,104.6119995,1035,39.77147675,130.8690491,226.4859416
SRR10360602,39.7393,-123.6309,39.7393,13.02118473,17.73430061,572,370.8750305,222.1352132,494.5514476,5.775642522,187430,11.42000024,North America,North America,USA:California,4317.4,12.07594705,8313.18,5.212356567,92.4375,1613,25.62075424,97.24111176,704.665685
