0Run,Latitude,Longitude,ABS_latit,log2sum_RPKM,salinity,phosphate,density,nitrate,Depth,oxygen_sensor,temperature,O2sat,conductivity,AOU,silicate,Present.Surface.Calcite.Mean.BOv2_2,Present.Surface.Chlorophyll.Mean,Present.Surface.Iron.Mean,Present.Surface.Par.Mean.BOv2_2,Present.Surface.pH.BOv2_2,Present.Surface.Phytoplankton.Mean,Present.Surface.Primary.productivity.Mean,geo_loc_name4,geo_loc_name5,log2_RPKM_16S,sum-RPKM
ERR599141,6.0001,73.8955,6.0001,11.45926254,34.56155,0.220372081,22.11823082,0.187785551,5,189.25475,29.980283,100.0774231,5.732581615,-0.033401687,4.146188259,8.30E-05,0.073425,0.000526,45.31399918,8.184000015,0.905208,0.002234,Indian,Indian,10.01641832,2815.67
ERR599142,31.5213,-158.9958,31.5213,11.3977388,35.181842,0.118648686,24.44210243,0.123840101,5,197.682417,25.173925,101.0461731,4.921559334,-1.746219993,3.205172539,7.40E-05,0.080308,1.70E-05,38.77299881,8.227999687,0.837764,0.00108,Pacific,Pacific,9.9079617,2698.12
ERR599143,20.8183,63.5047,20.8183,10.7917978,36.530058,0.417623758,23.87764549,1.12012732,5,104.908417,25.581433,103.6256409,5.762912273,-4.2690382,2.966184616,0.000151,0.111471,0.000838,45.25099945,8.123000145,1.007754,0.00433,Indian,Indian,9.477940362,1772.78
ERR599144,-32.2401,17.7103,32.2401,11.53030391,34.845292,0.683270276,25.93052483,3.615843534,5,249.351417,12.83445,105.1930237,4.425693989,-6.344338894,5.70543623,0.000615,1.500937,0.00031,42.68999863,8.220999718,7.609344,0.05255,Atlantic,Atlantic,9.905654759,2957.79
ERR599145,18.5839,66.4727,18.5839,11.23361369,36.332317,0.361784577,23.87038994,0.66898495,25,192.95875,26.812225,103.0764847,5.804698944,-3.734582186,2.527582169,0.000143,0.064069,0.001131,45.36800003,8.126999855,0.861865,0.001583,Indian,Indian,9.354024529,2407.99
ERR599146,-35.1728,26.2868,35.1728,10.7796537,35.44666,0.303274721,24.96482277,1.733958364,5,207.0439,21.81684,101.1246719,4.984955311,-2.444252729,4.821695328,9.00E-05,0.334596,8.50E-05,36.61399841,8.227999687,1.601623,0.014356,Atlantic,Atlantic,9.970753016,1757.92
ERR599147,14.2075,-116.6468,14.2075,11.53931393,34.15169907,0.271009654,22.73415565,1.006769538,40,205.7971802,25.53441048,100.3492203,5.238996983,0.684511662,2.273959637,6.20E-05,0.133957,1.00E-05,44.0019989,8.204999924,1.41831,0.004379,Pacific,Pacific,9.738840443,2976.32
ERR599150,-29.5019,37.9889,29.5019,11.35127054,35.334717,0.172312915,24.20158386,0.265088797,5,210.00775,22.165567,103.7356491,5.225515842,-4.712164402,3.085223436,6.40E-05,0.134221,8.60E-05,40.34000015,8.227000237,0.989503,0.003619,Indian,Indian,9.844134536,2612.6
ERR599151,-9.1504,-140.5216,9.1504,10.63088594,35.396729,0.416282028,22.93325806,2.092002869,5,190.724,26.518986,102.3519516,5.706571579,-3.929368258,0.674449444,0.000102,0.186371,1.30E-05,49.95999908,8.182999611,1.520901,0.00837,Pacific,Pacific,10.30946499,1585.68
ERR599153,39.3991,19.3997,39.3991,12.20343366,38.475705,0.044204887,28.85753632,0.365672231,50,229.547682,15.161277,101.1761398,4.834924698,-1.593161106,2.440566778,8.80E-05,0.067777,0.001984,36.40499878,8.256999969,0.742248,0.000722,Atlantic,Atlantic,10.3477653,4716.28
ERR599155,23.36,37.2183,23.36,11.90754792,39.74725,0.032660726,26.3705368,0.10446611,5,188.416583,25.824383,101.0034103,6.143332958,-1.640254021,1.097632647,7.40E-05,0.072875,0.001398,46.25299835,8.154999733,0.924318,0.002208,Indian,Indian,9.854609734,3841.75
ERR599158,19.0393,64.4913,19.0393,11.47039959,36.617917,0.380127698,23.81908989,0.878559291,5,199.9355,26.2314,103.2438736,5.785274982,-4.088521004,2.962757349,0.000123,0.093081,0.000827,45.35100174,8.135000229,0.94938,0.003263,Indian,Indian,9.844274225,2837.49
ERR599160,-8.9068,-140.283,8.9068,10.38843711,35.359483,0.453641057,22.92733002,2.707389116,5,189.758333,26.576175,101.7127457,5.673101425,-2.926371574,0.816358089,0.00012,0.201671,1.90E-05,47.80699921,8.180999756,1.585584,0.009844,Pacific,Pacific,9.831473516,1340.39
ERR599162,7.4122,-79.3017,7.4122,11.04226129,28.919008,0.218767822,20.39340973,0.829360008,5,205.2885,26.62925,102.941597,5.077056408,-1.611830235,3.719592333,0.000248,0.308083,0.000372,39.07099915,7.998000145,1.776879,0.020522,Pacific,Pacific,9.661493093,2108.88
ERR599163,-13.0023,-95.9759,13.0023,9.693521805,35.835267,0.640001059,24.51173592,3.929646254,5,200.233917,25.2512,100.1901779,5.206169605,-0.287509233,2.400048018,0.000124,0.198751,1.80E-05,45.42200089,8.217000008,1.528546,0.007474,Pacific,Pacific,9.701062093,828.02
ERR599165,-20.4091,-3.1759,20.4091,11.01925712,36.376225,0.238641128,25.28174019,0.208056048,5,215.650833,19.776808,101.0930557,5.128956318,-2.515437841,1.170029044,8.10E-05,0.094734,0.000397,41.92900085,8.197999954,0.771628,0.001761,Atlantic,Atlantic,10.08674662,2075.52
ERR599168,-5.2669,-85.2732,5.2669,10.67857373,34.900284,1.270411849,25.18309784,13.72409821,40,103.916711,19.566255,69.34276581,4.790762424,72.57894135,9.012592316,0.000232,0.253619,4.50E-05,45.42200089,8.18999958,1.649087,0.013699,Pacific,Pacific,9.691176448,1638.97
