sample	coverage	taxonomy
Novel_genomes_no_reference_R1	2.61	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__DSM-22679; f__DSM-22679; g__Microaerobacter; s__Microaerobacter geothermalis
Novel_genomes_no_reference_R1	3.13	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Halalkalibacter; s__Halalkalibacter sp023555415
Novel_genomes_no_reference_R1	2.16	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Periweissella; s__Periweissella ghanensis
Novel_genomes_no_reference_R1	2.61	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Carideicomes; s__Carideicomes alvinocaridis
Novel_genomes_no_reference_R1	3.18	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Sedimentimonas; s__Sedimentimonas flavescens
Novel_genomes_no_reference_R1	2.79	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Neotabrizicola; s__Neotabrizicola shimadae
Novel_genomes_no_reference_R1	3.44	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Thermohalobaculum; s__Thermohalobaculum sp023487995
Novel_genomes_no_reference_R1	2.61	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Mesobacterium; s__Mesobacterium pallidum
Novel_genomes_no_reference_R1	2.43	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Gymnodinialimonas; s__Gymnodinialimonas ceratoperidinii
Novel_genomes_no_reference_R1	2.49	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Gluconacetobacter; s__Gluconacetobacter vanlangensis
Novel_genomes_no_reference_R1	2.27	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Roseococcus; s__Roseococcus rosea
Novel_genomes_no_reference_R1	2.9	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Methylopilaceae; g__Hansschlegelia; s__Hansschlegelia methanolivorans
