sample	coverage	taxonomy
Novel_genomes_placement_ani_R1	3.18	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__SURF-7; g__QZKS01; s__QZKS01 sp020723305
Novel_genomes_placement_ani_R1	2.5	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfolunaceae; g__DYJE01; s__DYJE01 sp020723285
Novel_genomes_placement_ani_R1	2.84	Root; d__Bacteria; p__Desulfobacterota; c__Desulfofervidia; o__Desulfofervidales; f__Desulfofervidaceae; g__JAGHCL01; s__JAGHCL01 sp021160485
Novel_genomes_placement_ani_R1	2.39	Root; d__Bacteria; p__Desulfobacterota; c__Dissulfuribacteria; o__Dissulfuribacterales; f__Sh68; g__Dissulfurimicrobium; s__Dissulfurimicrobium hydrothermale
Novel_genomes_placement_ani_R1	3.24	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Neotabrizicola; s__Neotabrizicola shimadae
Novel_genomes_placement_ani_R1	2.84	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Mesobacterium; s__Mesobacterium pallidum
Novel_genomes_placement_ani_R1	2.61	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Sedimentimonas; s__Sedimentimonas flavescens
Novel_genomes_placement_ani_R1	2.75	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Thermohalobaculum; s__Thermohalobaculum sp023487995
Novel_genomes_placement_ani_R1	2.22	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Anaplasmataceae; g__AB001-6; s__AB001-6 sp020002265
Novel_genomes_placement_ani_R1	2.61	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Midichloriaceae; g__Bandiella; s__Bandiella numerosa
Novel_genomes_placement_ani_R1	2.27	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Midichloriaceae; g__Anadelfobacter; s__Anadelfobacter sociabilis
Novel_genomes_placement_ani_R1	1.48	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Midichloriaceae; g__Cyrtobacter; s__Cyrtobacter zanobii
Novel_genomes_placement_ani_R1	2.61	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__JAFAZJ01; s__JAFAZJ01 sp022844045
Novel_genomes_placement_ani_R1	3.07	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Maricaulaceae; g__Oceanicaulis; s__Oceanicaulis sp024178355
Novel_genomes_placement_ani_R1	2.91	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Methylopilaceae; g__Hansschlegelia; s__Hansschlegelia methanolivorans
Novel_genomes_placement_ani_R1	2.5	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Emcibacteraceae; g__Pseudemcibacter; s__Pseudemcibacter aquimaris
Novel_genomes_placement_ani_R1	2.27	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Aquisediminimonas; s__Aquisediminimonas profunda
Novel_genomes_placement_ani_R1	2.67	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Roseococcus; s__Roseococcus rosea
Novel_genomes_placement_ani_R1	3.52	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__Methyloradius; s__Methyloradius palustris
Novel_genomes_placement_ani_R1	3.13	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__UBA9220; g__JAIOJO01; s__JAIOJO01 sp019911985
Novel_genomes_placement_ani_R1	3.26	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Azonexus; s__Azonexus australiensis_A
Novel_genomes_placement_ani_R1	2.83	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Azonexus; s__Azonexus limneticum_B
Novel_genomes_placement_ani_R1	2.73	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Mycetohabitans; s__Mycetohabitans cooleyia
Novel_genomes_placement_ani_R1	2.5	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_A; f__Alteromonadaceae; g__Paraneptunicella; s__Paraneptunicella aestuarii
Novel_genomes_placement_ani_R1	3.07	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_A; f__Alteromonadaceae; g__Planctobacterium; s__Planctobacterium marinum
Novel_genomes_placement_ani_R1	2.5	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Gillettellia; s__Gillettellia cooleyia
Novel_genomes_placement_ani_R1	2.33	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Ecksteinia; s__Ecksteinia adelgidicola
Novel_genomes_placement_ani_R1	1.88	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Hartigia; s__Hartigia pinicola
Novel_genomes_placement_ani_R1	2.84	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Oleiphilaceae; g__Alkalimarinus; s__Alkalimarinus sediminis
Novel_genomes_placement_ani_R1	3.01	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Endozoicomonadaceae; g__Sansalvadorimonas; s__Sansalvadorimonas verongulae
Novel_genomes_placement_ani_R1	2.96	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Nitrococcales; f__Aquisalimonadaceae; g__Methylonatrum; s__Methylonatrum kenyense
Novel_genomes_placement_ani_R1	3.3	Root; d__Bacteria; p__Sumerlaeota; c__Sumerlaeia; o__Sumerlaeales; f__Sumerlaeaceae; g__JAIBAT01; s__JAIBAT01 sp019695055
Novel_genomes_placement_ani_R1	3.18	Root; d__Bacteria; p__Desulfobacterota_B; c__Binatia; o__UBA12015; f__UBA12015; g__VGTK01; s__VGTK01 sp019749875
Novel_genomes_placement_ani_R1	3.12	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Arcobacteraceae; g__JAIOSF01; s__JAIOSF01 sp021107755
Novel_genomes_placement_ani_R1	3.69	Root; d__Bacteria; p__Bacillota_A; c__Thermosediminibacteria; o__Thermosediminibacterales; f__Thermosediminibacteraceae; g__Thermovorax; s__Thermovorax subterraneus
Novel_genomes_placement_ani_R1	3.3	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Periweissella; s__Periweissella ghanensis
Novel_genomes_placement_ani_R1	2.22	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae_L; g__Ferdinandcohnia; s__Ferdinandcohnia aciditolerans
Novel_genomes_placement_ani_R1	2.67	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Halalkalibacter; s__Halalkalibacter sp023555415
Novel_genomes_placement_ani_R1	2.98	Root; d__Bacteria; p__Eremiobacterota; c__Eremiobacteria; o__Baltobacterales; f__Baltobacteraceae; g__Cybelea; s__Cybelea sp024281075
Novel_genomes_placement_ani_R1	1.88	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__JALRHH01; g__JALRHH01; s__JALRHH01 sp023253175
Novel_genomes_placement_ani_R1	2.72	Root; d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Peribacterales; f__Peribacteraceae; g__JAGVDM01; s__JAGVDM01 sp020058765
Novel_genomes_placement_ani_R1	2.39	Root; d__Bacteria; p__Desulfobacterota_E; c__Anaeroferrophillalia; o__Anaeroferrophillales; f__Tharpellaceae; g__Tharpella; s__Tharpella aukensis
Novel_genomes_placement_ani_R1	3.01	Root; d__Bacteria; p__Bacillota_B; c__Desulfitobacteriia; o__Desulfitobacteriales; f__Desulfitobacteriaceae; g__Acididesulfobacillus; s__Acididesulfobacillus acetoxydans
Novel_genomes_placement_ani_R1	2.9	Root; d__Bacteria; p__Bacillota_B; c__Moorellia; o__DULZ01; f__Zhaonellaceae; g__Zhaonella; s__Zhaonella formicivorans
Novel_genomes_placement_ani_R1	1.8	Root; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Methylomirabilales; f__Methylomirabilaceae; g__Methylomirabilis; s__Methylomirabilis sp016207095
